Date,In (size),Out (size)
00:00,36467886,467799
01:00,525517698,17707618
02:00,224202997,32407074
03:00,22556817,1852439
04:00,56069075,1275173185
05:00,16145308,1835235
06:00,26060173,2142135
07:00,174396230,8741661
08:00,18665743,1441924
09:00,111215348,9446619
10:00,498154774,49668081
11:00,465945946,39834965
12:00,2293154430,143342888
13:00,17888441,2050130
14:00,501910486,122813834
15:00,299310490,19524342
16:00,1845359,915336
17:00,0,0
18:00,0,0
19:00,0,0
20:00,0,0
21:00,0,0
22:00,6860954,786308
23:00,63181427,4824283
