Date,TCP (size),UDP (size),ICMP (size)
00:00,2011419,15771305,16918223
01:00,517352505,11413314,13130337
02:00,211852900,34639355,9129430
03:00,3711043,6330996,13446619
04:00,1312950025,5613670,11795503
05:00,4043404,4720687,8276126
06:00,4397824,5279229,17502623
07:00,151788127,8264336,21903894
08:00,4783438,3509248,11281699
09:00,118289230,1083486,1257025
10:00,542959605,4532740,281520
11:00,500623482,3824272,1284371
12:00,399035575,2035941691,1470450
13:00,19147569,281442,463834
14:00,607191894,16667605,823826
15:00,315406081,3133082,270511
16:00,2239762,214373,302699
17:00,0,0,0
18:00,0,0,0
19:00,0,0,0
20:00,0,0,0
21:00,0,0,0
22:00,4391211,2559363,589160
23:00,20404616,29204886,16967898
